feature,importance
fees_min_mean,0.049780402119666944
transacted_w_address_total_mean,0.04798665777263273
fees_min_max,0.04664785850701778
transacted_w_address_total_max,0.04292802703588838
fees_median_mean,0.03971127430850709
fees_max_mean,0.038308185082312665
fees_median_max,0.03813445446083585
fees_mean_mean,0.03797943699289696
fees_total_max,0.03699569125187211
fees_mean_max,0.03689640567558164
fees_max_max,0.03653085955637924
fees_total_mean,0.034887917208438535
btc_received_total_max,0.01768063425403484
btc_received_total_mean,0.01672805320696393
fees_as_share_max_max,0.015001789502493985
fees_as_share_min_max,0.014996453311223637
fees_as_share_min_mean,0.014952161984964232
fees_as_share_max_mean,0.014933901162015213
fees_as_share_total_mean,0.014592069026188979
fees_as_share_total_max,0.014490405611312106
fees_as_share_median_mean,0.014312945600148633
fees_as_share_median_max,0.014296315130642038
fees_as_share_mean_mean,0.014203626241470126
fees_as_share_mean_max,0.014179494562852123
btc_received_max_mean,0.01415029638495182
btc_received_max_max,0.013533819912943794
btc_received_mean_mean,0.01187082885743977
btc_received_mean_max,0.011838353960348904
btc_transacted_min_mean,0.011380994373397534
btc_transacted_min_max,0.01121453512193377
btc_transacted_total_mean,0.010952601271015699
btc_transacted_total_max,0.01092505933411527
btc_received_median_max,0.010841294617774645
btc_received_median_mean,0.010800400404400343
btc_transacted_max_max,0.010768685062411732
btc_transacted_median_max,0.010670689742058393
btc_transacted_mean_mean,0.010522973311810846
btc_transacted_max_mean,0.010465562961805994
btc_transacted_median_mean,0.0104267933231311
btc_transacted_mean_max,0.010317767079950309
total_txs_max,0.009118904909451957
btc_received_min_max,0.0077088937680733285
btc_sent_mean_max,0.007640748921622039
btc_received_min_mean,0.007414951314420541
btc_sent_total_mean,0.007176630985123403
btc_sent_mean_mean,0.0071474153987181755
total_txs_mean,0.006941529174997066
btc_sent_max_max,0.006904602085574158
btc_sent_max_mean,0.006830833016076161
btc_sent_total_max,0.006827763499370988
btc_sent_median_max,0.0067574674633241886
btc_sent_median_mean,0.006747591165843611
btc_sent_min_max,0.005511540494236209
btc_sent_min_mean,0.004866142408182966
num_txs_as receiver_max,0.0033153152007455405
num_txs_as receiver_mean,0.00309955725454662
blocks_btwn_txs_mean_mean,0.0026546885637617336
lifetime_in_blocks_max,0.0026515886551371206
blocks_btwn_txs_mean_max,0.002639206933734558
blocks_btwn_txs_max_max,0.002475320160668059
blocks_btwn_txs_total_mean,0.0024663175133194212
lifetime_in_blocks_mean,0.002266538298564577
blocks_btwn_txs_total_max,0.0022421124387064693
blocks_btwn_txs_max_mean,0.002223481758200081
blocks_btwn_txs_median_mean,0.0020104986597297473
blocks_btwn_txs_median_max,0.0019215821924503651
blocks_btwn_txs_min_max,0.0018919102975863203
blocks_btwn_txs_min_mean,0.0018407430769509304
transacted_w_address_mean_max,0.001250269283664996
num_txs_as_sender_max,0.0012294267935781965
num_txs_as_sender_mean,0.0011858492295471446
blocks_btwn_output_txs_total_max,0.0011523472259650743
blocks_btwn_output_txs_mean_mean,0.0010913546945992445
blocks_btwn_output_txs_total_mean,0.001044566759717052
blocks_btwn_output_txs_mean_max,0.0010382133699163084
transacted_w_address_mean_mean,0.0010144066979332843
blocks_btwn_output_txs_max_mean,0.0009660003643750151
blocks_btwn_output_txs_max_max,0.0009457994604590995
blocks_btwn_output_txs_median_mean,0.0008678138573945945
blocks_btwn_output_txs_median_max,0.0008665196260181177
blocks_btwn_output_txs_min_max,0.0007781314938835036
blocks_btwn_output_txs_min_mean,0.0007388834760371374
transacted_w_address_max_max,0.000674357190124713
num_addr_transacted_multiple_mean,0.0006413673055139854
transacted_w_address_max_mean,0.0005895833426646004
num_addr_transacted_multiple_max,0.0005839002207350108
transacted_w_address_median_mean,0.0003904633799526429
transacted_w_address_median_max,0.0003386314601689423
transacted_w_address_min_mean,0.000317928124445927
blocks_btwn_input_txs_mean_mean,0.00029218134949101764
num_timesteps_appeared_in_mean,0.0002744711675059903
num_timesteps_appeared_in_max,0.00026470333495477776
blocks_btwn_input_txs_median_max,0.0002545280534220811
blocks_btwn_input_txs_median_mean,0.00024973225375141546
blocks_btwn_input_txs_total_mean,0.0002460240567144685
blocks_btwn_input_txs_min_max,0.00024197132246913723
blocks_btwn_input_txs_mean_max,0.0002416361611214393
blocks_btwn_input_txs_max_mean,0.00023276162654609582
blocks_btwn_input_txs_min_mean,0.00022286611120009883
blocks_btwn_input_txs_total_max,0.00022049665746229583
transacted_w_address_min_max,0.00021746011078069177
blocks_btwn_input_txs_max_max,0.0002058035429397832
