transaction_count,incoming_transaction_count,outgoing_transaction_count,unique_incoming_counterparties,unique_outgoing_counterparties,activity_duration_seconds,total_incoming_value,total_outgoing_value,average_incoming_value,average_outgoing_value,maximum_incoming_value,maximum_outgoing_value,incoming_outgoing_value_ratio,outgoing_value_concentration,incoming_value_concentration,total_unique_counterparties,counterparty_reuse_count,fan_in,fan_out,graph_multi_hop_exposure_count,total_transaction_fees,average_transaction_fee,minimum_transaction_fee,maximum_transaction_fee,fee_to_value_ratio,average_transaction_gap_seconds,minimum_transaction_gap_seconds,maximum_transaction_gap_seconds,transaction_burst_count,rapid_transaction_sequence_count,target
810.0,89.0,721.0,40.0,118.0,0.0,586.4666748,865.6910932,6.589513,1.200681,0.0,31.22,0.6774549021084927,0.0,0.0,158.0,0.0,40.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
102.0,8.0,94.0,5.0,14.0,0.0,3.085478209,3.08729702,0.385685,0.032844,0.0,1.8,0.9994108726862958,0.0,0.0,19.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,10.0,2.0,10.0,2.0,0.0,3.58905665,3.58861565,0.358906,1.7943080000000002,0.0,3.538616,1.0001228886130504,0.0,0.0,12.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34.0,9.0,25.0,7.0,13.0,0.0,895.399559,1750.0458620000004,99.48884,70.001834,0.0,450.0,0.5116434822894943,0.0,0.0,20.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4619.0,20.0,4598.0,7.0,19.0,0.0,53.4218965,104.3188828,2.671095,0.022688,0.0,9.0,0.5121018847797707,0.0,0.0,26.0,0.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,3.0,2.0,2.0,1.0,0.0,9.70472386,9.70371586,3.2349080000000003,4.851858,0.0,5.5369160000000015,1.0001038777324627,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36.0,11.0,25.0,9.0,20.0,0.0,12.079266,12.0623941,1.098115,0.482496,0.0,4.284785,1.0013987190154896,0.0,0.0,29.0,0.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
218.0,5.0,213.0,3.0,3.0,0.0,4.45548974,8.703392156,0.891098,0.040861,0.0,0.7,0.5119256561280473,0.0,0.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.99938,2.0,1.99938,0.0,1.99938,1.0003100961298004,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11.0,3.0,8.0,2.0,4.0,0.0,50.1,149.077,16.7,18.634625,0.0,40.0,0.3360679380454396,0.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20.0,10.0,10.0,2.0,1.0,0.0,10.04819041,10.04055439,1.004819,1.004055,0.0,1.01417,1.0007605177665893,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
254.0,246.0,8.0,4.0,3.0,0.0,831.8030477000002,831.799,3.381313,103.974875,0.0,300.0,1.000004866199647,0.0,0.0,7.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17.0,16.0,0.0,4.0,0.0,0.0,12.30665958,0.0,0.769166,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,2.0,7.0,2.0,4.0,0.0,0.36015854,0.262941117,0.180079,0.037563,0.0,0.133441,1.3697307751225536,0.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
56.0,24.0,32.0,11.0,21.0,0.0,1851.0063760000005,3273.988723,77.125266,102.312148,0.0,1100.0,0.5653673645839251,0.0,0.0,32.0,0.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38.0,3.0,34.0,3.0,13.0,0.0,1.591844363,1.5051029580000002,0.530615,0.044268,0.0,0.933444,1.0576315424396368,0.0,0.0,16.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
114.0,57.0,57.0,2.0,2.0,0.0,11.6287514,11.6048114,0.204013,0.203593,0.0,0.277269,1.0020629374467904,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
37.0,11.0,26.0,6.0,15.0,0.0,182.2115661,257.307,16.564688,9.896423,0.0,34.9,0.7081485000408072,0.0,0.0,21.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,2.0,3.0,1.0,3.0,0.0,27.767,27.765677,13.8835,9.255226,0.0,20.082772,1.0000476487571328,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.0,2.0,2.0,2.0,2.0,0.0,101.0,100.9989738,50.5,50.499487,0.0,100.388974,1.0000101604992744,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19.0,18.0,0.0,5.0,0.0,0.0,101.9235724,0.0,5.662421,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14.0,7.0,7.0,4.0,3.0,0.0,58.85070376,157.09235049999995,8.407243,22.441764000000006,0.0,30.950276,0.37462488512449893,0.0,0.0,7.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
