FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance,Total ERC20 tnxs,ERC20 total Ether received,ERC20 total ether sent,ERC20 total Ether sent contract,ERC20 uniq sent addr,ERC20 uniq rec addr,ERC20 uniq sent addr.1,ERC20 uniq rec contract addr,ERC20 avg time between sent tnx,ERC20 avg time between rec tnx,ERC20 avg time between rec 2 tnx,ERC20 avg time between contract tnx,ERC20 min val rec,ERC20 max val rec,ERC20 avg val rec,ERC20 min val sent,ERC20 max val sent,ERC20 avg val sent,ERC20 min val sent contract,ERC20 max val sent contract,ERC20 avg val sent contract,ERC20 uniq sent token name,ERC20 uniq rec token name,ERC20 most sent token type,ERC20_most_rec_token_type,sent_transaction_ratio,incoming_counterparty_density,outgoing_counterparty_density,average_total_value,average_sent_value,average_received_value,created_contract_ratio,erc20_transaction_ratio,erc20_sent_counterparty_density,erc20_received_counterparty_density,activity_hours,log_outgoing_incoming_value_ratio,log_erc20_incoming_outgoing_ratio
0,844.26,1093.71,704785.63,721,89,0,40,118,0.0,45.806785,6.589513,0.0,31.22,1.200681,0.0,0.0,0.0,810,865.6910932,586.4666748,0.0,-279.2244185,265.0,35588543.78,35603169.52,0.0,30.0,54.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,15000000.0,265586.1476,0.0,16830998.35,271779.92,0.0,0.0,0.0,39.0,57.0,Cofoundit,Numeraire,0.8901234567901235,0.449438202247191,0.1636615811373093,1.7927873679012347,1.2006811278779472,6.5895132,0.0,0.3271604938271605,0.1132075471698113,0.2037735849056604,11746.427166666666,0.9066899991106984,0.6933526432731675
0,12709.07,2958.44,1218216.73,94,8,0,5,14,0.0,2.613269,0.385685,0.0,1.8,0.032844,0.0,0.0,0.0,102,3.08729702,3.085478209,0.0,-0.001818811,8.0,403.4283054,2.260809454,0.0,1.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,365.0,57.632615,2.260809,2.260809,2.260809,0.0,0.0,0.0,1.0,7.0,Livepeer Token,Livepeer Token,0.9215686274509804,0.625,0.1489361702127659,0.0605174042058823,0.0328435853191489,0.385684776125,0.0,0.0784313725490196,0.125,0.625,20303.612166666662,0.6934418744280844,0.005588349184169662
0,246194.54,2434.02,516729.3,2,10,0,10,2,0.113119,1.165453,0.358906,0.05,3.538616,1.7943080000000002,0.0,0.0,0.0,12,3.58861565,3.58905665,0.0,0.000441,8.0,521.5120705,0.0,0.0,0.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,442.81984000000006,65.189009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,UNKNOWN,XENON,0.1666666666666666,1.0,1.0,0.5981393583333333,1.794307825,0.358905665,0.0,0.6666666666666666,0.0,0.875,8612.155,0.693085741915983,0.0
0,10219.6,15785.09,397555.9,25,9,0,7,13,0.0,500.0,99.48884,0.0,450.0,70.001834,0.0,0.0,0.0,34,1750.0458620000004,895.399559,0.0,-854.6463028999998,14.0,17111.05191,11412.23068,0.0,2.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11412.23068,1555.550174,100.0,9029.23068,3804.076893,0.0,0.0,0.0,1.0,11.0,Raiden,XENON,0.7352941176470589,0.7777777777777778,0.52,77.8072182647059,70.00183448000001,99.48883988888888,0.0,0.4117647058823529,0.1428571428571428,0.7857142857142857,6625.931666666667,1.083324677959303,0.5109961214827058
0,36.61,10707.77,382472.42,4598,20,1,7,19,0.0,12.802411,2.671095,0.0,9.0,0.022688,0.0,0.0,0.0,4619,104.3188828,53.4218965,0.0,-50.89698629,42.0,162829.6609,123539.9329,0.0,4.0,23.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,90000.0,4934.232147,0.0,45000.0,13726.65922,0.0,0.0,0.0,6.0,27.0,StatusNetwork,EOS,0.9954535613769214,0.35,0.0041322314049586,0.0341504176878112,0.0226878822966507,2.671094825,0.0002164970772894,0.0090928772461571,0.0952380952380952,0.5476190476190477,6374.540333333333,1.0827323396295006,0.5645786333170572
0,9900.12,375.48,20926.68,2,3,0,2,1,0.7241479999999999,4.813776,3.2349080000000003,4.1668,5.5369160000000015,4.851858,0.0,0.0,0.0,5,9.70371586,9.70472386,0.0,0.001008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4,0.6666666666666666,0.5,3.881687944,4.85185793,3.2349079533333334,0.0,0.0,0.0,0.0,348.778,0.6930952457398559,0.0
0,69.46,629.44,8660.35,25,11,0,9,20,0.049,2.65,1.098115,0.009457,4.284785,0.482496,0.0,0.0,0.0,36,12.0623941,12.079266,0.0,0.016871896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6944444444444444,0.8181818181818182,0.8,0.6706016694444445,0.482495764,1.0981150909090909,0.0,0.0,0.0,0.0,144.33916666666667,0.6924485539105397,0.0
0,1497.39,176.84,319828.05,213,5,0,3,3,0.11849,2.0,0.891098,0.0,0.7,0.040861,0.0,0.0,0.0,218,8.703392156,4.45548974,0.0,-4.2479024160000005,7.0,397.951964,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,365.0,56.850281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,UNKNOWN,XENON,0.9770642201834864,0.6,0.0140845070422535,0.060361843559633,0.0408609960375586,0.891097948,0.0,0.0321100917431192,0.0,0.7142857142857143,5330.4675,1.0829599746815082,0.0
0,0.0,0.0,496.62,1,1,0,1,1,2.0,2.0,2.0,1.99938,1.99938,1.99938,0.0,0.0,0.0,2,1.99938,2.0,0.0,0.00062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5,1.0,1.0,1.99969,1.99938,2.0,0.0,0.0,0.0,0.0,8.277,0.6929921685462038,0.0
0,2570.59,3336.01,30572.7,8,3,0,2,4,0.1,40.0,16.7,0.1,40.0,18.634625,0.0,0.0,0.0,11,149.077,50.1,0.0,-98.977,1.0,600.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,UNKNOWN,AICRYPTO,0.7272727272727273,0.6666666666666666,0.5,18.107,18.634625,16.7,0.0,0.0909090909090909,0.0,1.0,509.545,1.380172868546057,0.0
0,32.45,12921.57,129540.15,10,10,0,2,1,1.000052,1.014875,1.004819,0.999088,1.01417,1.004055,0.0,0.0,0.0,20,10.04055439,10.04819041,0.0,0.007636018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5,0.2,0.1,1.00443724,1.004055439,1.004819041,0.0,0.0,0.0,0.0,2159.0025,0.6927671384436601,0.0
0,3716.41,1448.09,385961.98,8,246,0,4,3,0.118061,81.38600000000002,3.381313,0.01,300.0,103.974875,0.0,0.0,0.0,254,831.799,831.8030477000002,0.0,0.004047714,8.0,6193.025913,0.0,0.0,0.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4035.631891,774.128239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,UNKNOWN,XENON,0.0314960629921259,0.016260162601626,0.375,6.549614361023623,103.974875,3.381313202032521,0.0,0.0314960629921259,0.0,0.875,6432.699666666666,0.6931447474690017,0.0
0,0.0,12431.27,198900.25,0,16,1,4,0,0.0,1.002069,0.769166,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,12.30665958,0.0,12.30665958,2.0,0.181283664,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0753669999999999,0.105917,0.090642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,UNKNOWN,DATAcoin,0.0,0.25,0.0,0.7239211517647058,0.0,0.76916622375,0.0588235294117647,0.1176470588235294,0.0,1.0,3315.0041666666666,0.0,0.0
0,9520.7,5776.32,78197.58,7,2,0,2,4,0.095,0.265159,0.180079,0.0,0.133441,0.037563,0.0,0.0,0.0,9,0.262941117,0.36015854,0.0,0.097217423,3.0,8.001,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.001,5.0,2.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,UNKNOWN,PoSToken,0.7777777777777778,1.0,0.5714285714285714,0.0692332952222222,0.0375630167142857,0.18007927,0.0,0.3333333333333333,0.0,0.6666666666666666,1303.293,0.548162145680267,0.0
0,14106.66,3742.82,540061.9,32,24,0,11,21,0.0,1499.9995800000004,77.125266,0.0,1100.0,102.312148,0.0,0.0,0.0,56,3273.988723,1851.0063760000005,0.0,-1422.982347,33.0,139827.7923,133086.5,0.0,4.0,23.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,118324.5,4993.849726,1e-06,118324.5,26617.3,0.0,0.0,0.0,4.0,26.0,TenXPay,KyberNetwork,0.5714285714285714,0.4583333333333333,0.65625,91.517769625,102.31214759375,77.12526566666669,0.0,0.5892857142857143,0.1212121212121212,0.696969696969697,9001.031666666668,1.0184000905213764,0.6687461878033337
0,757.91,11.08,25802.32,34,3,1,3,13,0.091844,1.0,0.530615,0.0,0.933444,0.044268,0.0,0.0,0.0,38,1.5051029580000002,1.591844363,0.0,0.086741405,4.0,0.0,5e-06,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06,1e-06,0.0,0.0,0.0,1.0,0.0,UNKNOWN,UNKNOWN,0.8947368421052632,1.0,0.3823529411764705,0.0814986137105263,0.0442677340588235,0.5306147876666667,0.0263157894736842,0.1052631578947368,0.75,0.0,430.0386666666666,0.6655235704510972,0.0
